+---------+-------+------+------+-------------+------------+
|   Seq   |  GC % | MFE  | CAI  | Levenshtein | Identity % |
+---------+-------+------+------+-------------+------------+
|  Gen 1  | 58.33 | 0.00 | 1.00 |      3      |   75.00    |
|  Gen 2  | 58.33 | 0.00 | 0.85 |      1      |   91.67    |
|  Gen 3  | 50.00 | 0.00 | 0.85 |      4      |   66.67    |
|  Gen 4  | 50.00 | 0.00 | 0.84 |      2      |   83.33    |
|  Gen 5  | 50.00 | 0.00 | 0.76 |      4      |   66.67    |
|  Gen 6  | 50.00 | 0.00 | 0.73 |      2      |   83.33    |
|  Gen 7  | 50.00 | 0.00 | 0.72 |      3      |   75.00    |
|  Gen 8  | 41.67 | 0.00 | 0.72 |      3      |   75.00    |
|  Gen 9  | 50.00 | 0.00 | 0.65 |      2      |   83.33    |
|  Gen 10 | 41.67 | 0.00 | 0.65 |      5      |   58.33    |
|  Gen 11 | 41.67 | 0.00 | 0.64 |      3      |   75.00    |
|  Gen 12 | 50.00 | 0.00 | 0.63 |      0      |   100.00   |
|  Gen 13 | 41.67 | 0.00 | 0.61 |      4      |   66.67    |
|  Gen 14 | 41.67 | 0.00 | 0.55 |      3      |   75.00    |
|  Gen 15 | 41.67 | 0.00 | 0.55 |      4      |   66.67    |
|  Gen 16 | 33.33 | 0.00 | 0.55 |      4      |   66.67    |
|  Gen 17 | 41.67 | 0.00 | 0.53 |      1      |   91.67    |
|  Gen 18 | 58.33 | 0.00 | 0.50 |      3      |   75.00    |
|  Gen 19 | 33.33 | 0.00 | 0.47 |      5      |   58.33    |
|  Gen 20 | 50.00 | 0.00 | 0.42 |      4      |   66.67    |
|  Gen 21 | 33.33 | 0.00 | 0.41 |      2      |   83.33    |
|  Gen 22 | 50.00 | 0.00 | 0.38 |      4      |   66.67    |
|  Gen 23 | 41.67 | 0.00 | 0.32 |      5      |   58.33    |
|  Gen 24 | 58.33 | 0.00 | 1.00 |      3      |   75.00    |
|  Gen 25 | 50.00 | 0.00 | 0.72 |      3      |   75.00    |
|  Gen 26 | 58.33 | 0.00 | 1.00 |      3      |   75.00    |
| Natural | 50.00 | 0.00 | 0.63 |      0      |   100.00   |
+---------+-------+------+------+-------------+------------+
