+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 54.07 | -46.80 | 0.69 |      26     |   80.74    |
|  Gen 2   | 52.59 | -41.40 | 0.66 |      32     |   76.30    |
|  Gen 3   | 54.07 | -41.90 | 0.64 |      29     |   78.52    |
|  Gen 4   | 52.59 | -50.80 | 0.61 |      35     |   74.07    |
|  Gen 5   | 52.59 | -47.10 | 0.61 |      32     |   76.30    |
|  Gen 6   | 51.85 | -46.50 | 0.60 |      31     |   77.04    |
|  Gen 7   | 56.30 | -43.40 | 0.60 |      30     |   77.78    |
|  Gen 8   | 55.56 | -51.30 | 0.59 |      29     |   77.78    |
|  Gen 9   | 52.59 | -38.60 | 0.61 |      28     |   79.26    |
|  Gen 10  | 53.33 | -42.80 | 0.60 |      30     |   77.78    |
|  Gen 11  | 51.85 | -46.10 | 0.59 |      35     |   74.07    |
|  Gen 12  | 52.59 | -43.90 | 0.59 |      35     |   74.07    |
|  Gen 13  | 53.33 | -41.40 | 0.58 |      26     |   80.74    |
|  Gen 14  | 54.07 | -41.90 | 0.58 |      30     |   77.78    |
|  Gen 15  | 51.11 | -45.60 | 0.57 |      27     |   80.00    |
|  Gen 16  | 51.85 | -40.70 | 0.57 |      26     |   80.74    |
|  Gen 17  | 54.81 | -46.00 | 0.57 |      30     |   77.78    |
|  Gen 18  | 52.59 | -37.50 | 0.58 |      36     |   72.59    |
|  Gen 19  | 54.81 | -46.00 | 0.56 |      34     |   74.81    |
|  Gen 20  | 49.63 | -46.90 | 0.56 |      34     |   74.07    |
|  Gen 21  | 49.63 | -33.30 | 0.58 |      26     |   80.00    |
|  Gen 22  | 50.37 | -41.30 | 0.57 |      26     |   80.74    |
|  Gen 23  | 55.56 | -43.90 | 0.56 |      36     |   72.59    |
|  Gen 24  | 54.81 | -44.20 | 0.56 |      37     |   72.59    |
|  Gen 25  | 54.07 | -39.60 | 0.56 |      36     |   73.33    |
|  Gen 26  | 52.59 | -48.40 | 0.55 |      33     |   75.56    |
|  Gen 27  | 52.59 | -38.40 | 0.56 |      29     |   77.78    |
|  Gen 28  | 54.07 | -43.00 | 0.55 |      32     |   76.30    |
|  Gen 29  | 51.11 | -40.37 | 0.55 |      39     |   71.11    |
|  Gen 30  | 49.63 | -42.30 | 0.55 |      33     |   75.56    |
|  Gen 31  | 51.85 | -40.20 | 0.55 |      33     |   75.56    |
|  Gen 32  | 52.59 | -42.90 | 0.55 |      31     |   77.04    |
|  Gen 33  | 51.11 | -42.50 | 0.55 |      28     |   79.26    |
|  Gen 34  | 52.59 | -46.60 | 0.54 |      31     |   77.04    |
|  Gen 35  | 50.37 | -44.10 | 0.54 |      35     |   73.33    |
|  Gen 36  | 51.11 | -39.73 | 0.55 |      32     |   76.30    |
|  Gen 37  | 54.07 | -47.30 | 0.53 |      33     |   75.56    |
|  Gen 38  | 51.85 | -37.70 | 0.55 |      35     |   74.07    |
|  Gen 39  | 51.85 | -46.40 | 0.53 |      30     |   77.78    |
|  Gen 40  | 48.15 | -35.60 | 0.54 |      27     |   80.00    |
|  Gen 41  | 53.33 | -39.00 | 0.54 |      33     |   75.56    |
|  Gen 42  | 51.11 | -38.40 | 0.54 |      32     |   76.30    |
|  Gen 43  | 47.41 | -36.73 | 0.54 |      28     |   79.26    |
|  Gen 44  | 57.04 | -39.50 | 0.53 |      34     |   74.81    |
|  Gen 45  | 54.81 | -42.03 | 0.53 |      31     |   77.04    |
|  Gen 46  | 55.56 | -42.10 | 0.53 |      30     |   77.78    |
|  Gen 47  | 47.41 | -38.63 | 0.53 |      26     |   80.74    |
|  Gen 48  | 52.59 | -42.57 | 0.53 |      32     |   76.30    |
|  Gen 49  | 51.85 | -44.10 | 0.53 |      32     |   76.30    |
|  Gen 50  | 50.37 | -43.10 | 0.52 |      32     |   76.30    |
| Best GC  | 57.78 | -44.80 | 0.50 |      36     |   72.59    |
| Best MFE | 55.56 | -51.30 | 0.59 |      29     |   77.78    |
| Best CAI | 54.07 | -46.80 | 0.69 |      26     |   80.74    |
| Natural  | 46.67 | -38.40 | 0.55 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
