feature,importance_mean,importance_std
aa_C,0.13414293938492267,0.0028669771757497938
codon_GAG,0.07431301029476534,0.0037303645953927988
aa_I,0.06157342746540732,0.0012063687989985142
codon_TGG,0.053552601019571135,0.002655058552552792
aa_E,0.05099685500515653,0.0015106377000987654
codon_ATC,0.05014932185804403,0.0013619961426710756
aa_W,0.04900953852817075,0.0022339879193746105
codon_GCG,0.043552787931835604,0.002002280424405171
codon_CAA,0.04289778432169646,0.001607101906825384
aa_Q,0.04194074631906103,0.001946666382964201
aa_H,0.04167076387691234,0.00183396952876933
codon_TGC,0.03817584695850514,0.0016810645095231076
codon_CCG,0.03396713805323929,0.0012194760277931451
codon_TGT,0.03286843478527064,0.0008874847036805842
codon_AAG,0.032474043583605214,0.0008680627354897075
codon_GTT,0.030564559717859496,0.0007693296161164878
codon_TTC,0.029074511931136783,0.0009857547294478326
aa_K,0.026289463352597076,0.0007769094714752179
codon_CTG,0.025242782398757557,0.0008205149819067365
codon_TTA,0.02397143260557173,0.001081850206068378
aa_F,0.022832216674872563,0.0007580054743023632
codon_GAC,0.020525013922451096,0.0008710440543526341
aa_V,0.019797421313353415,0.000999804505190648
codon_CAT,0.019643337943725737,0.0007480303194471166
codon_GCA,0.01791466970558243,0.0006155763546728802
codon_GTA,0.01691806574638517,0.0007252425434089013
aa_P,0.016478708503145634,0.00047281055604126516
codon_CAC,0.014764942016482697,0.0007917373366415506
codon_TTG,0.013021546734526612,0.00047452561680898415
codon_AGT,0.012500117055137117,0.000670538328040436
codon_CTT,0.012053266587420276,0.0006984125812738291
codon_TCG,0.011643184001462437,0.00042165774974042933
codon_CAG,0.010838772701048594,0.00045851714356805596
codon_AAC,0.010282251081404048,0.0005368357411590667
aa_M,0.01015282070398349,0.0004688727020015341
aa_D,0.009536725670610558,0.0005921129546174849
codon_TTT,0.0091940583190669,0.00045050918689202397
codon_ATG,0.008698113382239147,0.0004414528968821497
codon_CTA,0.008439170225933124,0.0004108949620485089
codon_GAA,0.007494289804432031,0.00027194288995945336
aa_N,0.00699771708771787,0.000339491473331843
codon_ATT,0.005750575409024761,0.0004814865747083153
codon_GGC,0.005690645961865371,0.0003402715430814603
codon_ACG,0.005544419556718749,0.00019777702498239048
aa_S,0.005306185854072188,0.00021060791488003292
codon_AAT,0.004659290712275488,0.00025878290973051324
aa_A,0.004453999975926571,0.0002552343208737257
codon_GAT,0.004449051904492085,0.00025903467691094055
gc3,0.004304489105051934,0.0002440095096661892
codon_GTC,0.004222980062402237,0.00022132560278688069
