model,cv_r2_mean,test_r2,test_mae,test_rmse,best_params
Ridge,0.9960654386280104,0.9958666436928656,0.0041004116156589535,0.005434670883199394,{}
ElasticNet,0.996038156194125,0.9958150877152844,0.004116025383965445,0.005468459582260181,{}
HistGB,0.9786886822732729,0.9758733148667103,0.009627604287343595,0.013130179248548356,"{'model__max_iter': 300, 'model__max_depth': 10, 'model__learning_rate': 0.1}"
RandomForest,0.9451997199003234,0.941399437824527,0.01535359747344942,0.020463160845231067,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_depth': 60}"
MLP,0.6968626096473889,0.7372153391707286,0.031067954206814734,0.0433333068640071,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (300, 200, 100), 'model__alpha': 0.01}"
